source,year,count_type,currently_in_compiled_counts,recommended_thesis_role,why,next_action
Clements et al.,2010,resolved published differential counts,yes,formal evaluator bright/wide comparison,Published H-ATLAS differential counts with corrections; useful bright-end/wide-area anchor,Keep in formal resolved/prior score
Oliver et al.,2010,resolved published differential counts,yes,formal evaluator mid-flux comparison,Published HerMES SPIRE counts around the classic resolved/confusion-limited regime,Keep in formal resolved/prior score
Pearson et al. Table 3 SUSSEXtractor,2025,resolved extraction counts,yes,formal evaluator deep resolved comparison,Dark Field source extraction count product; useful small-area/deep method comparison,Keep but mention small-area/cosmic-variance caveat
Pearson et al. Table 4 XID,2025,prior/XID extraction counts,yes,formal evaluator deep prior-extraction comparison,Dark Field prior-based count product; useful comparison to prior/deblended methods,Keep but do not merge conceptually with blind counts without caveat
Glenn et al. P(D),2010,P(D) statistical count spline,yes,sensitivity/faint-end check,P(D) reaches below normal source extraction but spline points are correlated model-fit constraints,Show separately or include as sensitivity score
Varnish et al. P(D),2025,P(D) statistical count spline,yes,sensitivity/faint-end check,Deep Dark Field P(D) constrains faint counts but published knots are correlated and error handling is approximate,Show separately or include as sensitivity score
Bethermin et al.,2012,stacking/prior-based deep counts,no,context or future advanced add,Paper gives deep counts to about 2 mJy and redshift slices but arXiv source does not contain a simple total-count numeric table ready to transcribe,Use as method/literature support unless a machine-readable count table is found
Bethermin et al. / SIDES,2017,simulation/model reference,no,model context,Simulation designed to reproduce counts/P(D)/CIB-style statistics; not an observed dataset to mix into observed-count score,Use as motivation for evaluator quantities and simulated-sky methodology
Valiante et al. H-ATLAS DR1,2016,wide survey catalogue/counts,no,future bright-tail extension,Very large area could strengthen rare bright-end constraints but needs table/catalogue handling,Add later if thesis needs a stronger wide-area bright-tail comparison
Asboth et al. HeLMS red sources,2016,colour-selected high-z counts,no,possible specialised extension,Large-area red SPIRE source counts are useful for high-z/lensed/rare populations but not general SPIRE counts,Only add if thesis expands to red-source/high-z tail specifically
